Date,Close
1996-05-14,794.42
1996-05-15,795.29
1996-05-16,790.79
1996-05-17,795.6
1996-05-20,797.66
1996-05-21,795.92
1996-05-22,799.95
1996-05-23,794.73
1996-05-24,798.6
1996-05-28,798.21
1996-05-29,790.86
1996-05-30,792.68
1996-05-31,785.66
1996-06-03,785.17
1996-06-04,786.27
1996-06-05,790.35
1996-06-06,795.46
1996-06-07,782.73
1996-06-10,779.9
1996-06-11,777.15
1996-06-12,774.01
1996-06-13,776.05
1996-06-14,780.85
1996-06-17,784.93
1996-06-18,782.73
1996-06-19,781
1996-06-20,781.4
1996-06-21,782.97
1996-06-24,784.46
1996-06-25,787.6
1996-06-26,788.62
1996-06-27,793.97
1996-06-28,802.59
1996-07-01,802.73
1996-07-02,799.6
1996-07-03,800.8
1996-07-05,779.93
1996-07-08,780.49
1996-07-09,784.11
1996-07-10,788.36
1996-07-11,790.77
1996-07-12,795.02
1996-07-15,791.57
1996-07-16,796.55
1996-07-17,796.07
1996-07-18,805.86
1996-07-19,800.72
1996-07-22,797.91
1996-07-23,801.76
1996-07-24,795.5
1996-07-25,797.35
1996-07-26,798.39
1996-07-29,793.18
1996-07-30,797.43
1996-07-31,802.99
1996-08-01,814.77
1996-08-02,823.6
1996-08-05,823.2
1996-08-06,821.92
1996-08-07,820.95
1996-08-08,819.51
1996-08-09,825.45
1996-08-12,826.09
1996-08-13,818.14
1996-08-14,818.46
1996-08-15,815.97
1996-08-16,820.23
1996-08-19,817.9
1996-08-20,817.82
1996-08-21,815.73
1996-08-22,815.17
1996-08-23,807.78
1996-08-26,801.84
1996-08-27,804.33
1996-08-28,803.29
1996-08-29,798.63
1996-08-30,792.81
1996-09-03,797.54
1996-09-04,794.77
1996-09-05,790.96
1996-09-06,793.66
1996-09-09,797.62
1996-09-10,793.66
1996-09-11,794.53
1996-09-12,798.02
1996-09-13,808.96
1996-09-16,810.07
1996-09-17,805.07
1996-09-18,804.36
1996-09-19,801.35
1996-09-20,802.54
1996-09-23,805.31
1996-09-24,808.96
1996-09-25,814.03
1996-09-26,818.63
1996-09-27,816.41
1996-09-30,814.92
1996-10-01,820.35
1996-10-02,823.7
1996-10-03,823.86
1996-10-04,833.96
1996-10-07,830.54
1996-10-08,829.97
1996-10-09,826.3
1996-10-10,822.15
1996-10-11,826.22
1996-10-15,826.3
1996-10-16,824.92
1996-10-17,830.87
1996-10-18,832.33
1996-10-21,831.19
1996-10-22,827.85
1996-10-23,829.4
1996-10-24,828.1
1996-10-25,831.27
1996-10-28,831.03
1996-10-29,843.5
1996-10-30,843.91
1996-10-31,847.03
1996-11-01,845.31
1996-11-04,847.34
1996-11-05,853.7
1996-11-06,852.68
1996-11-07,857.68
1996-11-08,856.58
1996-11-12,863.52
1996-11-13,862.42
1996-11-14,866.57
1996-11-15,864.09
1996-11-18,863.95
1996-11-19,866.83
1996-11-20,870.64
1996-11-21,869.54
1996-11-22,867.67
1996-11-25,869.45
1996-11-26,868.69
1996-11-27,868.27
1996-11-29,875.45
1996-12-02,875.69
1996-12-03,876.82
1996-12-04,872.1
1996-12-05,862.9
1996-12-06,860.4
1996-12-09,865.44
1996-12-10,865.27
1996-12-11,854.24
1996-12-12,851.08
1996-12-13,856.52
1996-12-16,853.18
1996-12-17,851.17
1996-12-18,847.84
1996-12-19,856.16
1996-12-20,857.61
1996-12-23,859.14
1996-12-24,858.96
1996-12-26,858.79
1996-12-27,863.47
1996-12-30,863.95
1996-12-31,854.26
1997-01-02,845.01
1997-01-03,846.62
1997-01-06,844.92
1997-01-07,841.85
1997-01-08,840.48
1997-01-09,845.52
1997-01-10,837.8
1997-01-13,838.86
1997-01-14,846.29
1997-01-15,845.35
1997-01-16,841.08
1997-01-17,842.54
1997-01-21,847.31
1997-01-22,843.81
1997-01-23,842.7
1997-01-24,838.25
1997-01-27,835.1
1997-01-28,837.4
1997-01-29,838.77
1997-01-30,841.42
1997-01-31,848.15
1997-02-03,853.97
1997-02-04,855.33
1997-02-05,853.97
1997-02-06,853.04
1997-02-07,857.52
1997-02-10,858.04
1997-02-11,858.21
1997-02-12,857.7
1997-02-13,865.17
1997-02-14,869.78
1997-02-18,869.58
1997-02-19,867.8
1997-02-20,863.13
1997-02-21,862.69
1997-02-24,860.84
